case_folder,domain,sample_id,instruction_id,difficulty
case_029,domain_business_domain_product,sample_0016,inst_hard_003,Hard
case_030,domain_business_domain_product,sample_0016,inst_medium_002,Medium
case_031,domain_business_domain_product,sample_0056,inst_easy_001,Easy
case_032,domain_business_domain_product,sample_0056,inst_hard_003,Hard
case_033,domain_business_domain_product,sample_0056,inst_medium_002,Medium
case_034,domain_business_domain_product,sample_0108,inst_easy_001,Easy
case_035,domain_business_domain_product,sample_0108,inst_hard_003,Hard
case_036,domain_business_domain_product,sample_0108,inst_medium_002,Medium
case_037,domain_business_domain_report,sample_0013,inst_easy_001,Easy
case_038,domain_business_domain_report,sample_0013,inst_hard_003,Hard
case_039,domain_business_domain_report,sample_0013,inst_medium_002,Medium
case_040,domain_business_domain_report,sample_0024,inst_easy_001,Easy
case_041,domain_business_domain_report,sample_0024,inst_hard_003,Hard
case_042,domain_business_domain_report,sample_0024,inst_medium_002,Medium
case_043,domain_business_domain_report,sample_0087,inst_easy_001,Easy
case_044,domain_business_domain_report,sample_0087,inst_hard_003,Hard
case_045,domain_business_domain_report,sample_0087,inst_medium_002,Medium
case_046,domain_business_domain_report,sample_0088,inst_easy_001,Easy
case_047,domain_business_domain_report,sample_0088,inst_hard_003,Hard
case_048,domain_business_domain_report,sample_0088,inst_medium_002,Medium
case_049,domain_business_domain_report,sample_0093,inst_easy_001,Easy
case_050,domain_business_domain_report,sample_0093,inst_hard_003,Hard
case_051,domain_business_domain_report,sample_0093,inst_medium_002,Medium
case_052,domain_business_domain_report,sample_0130,inst_easy_001,Easy
case_053,domain_business_domain_report,sample_0130,inst_hard_003,Hard
case_054,domain_business_domain_report,sample_0130,inst_medium_002,Medium
case_055,domain_business_domain_strategy,sample_0032,inst_easy_001,Easy
case_056,domain_business_domain_strategy,sample_0032,inst_hard_003,Hard
case_057,domain_business_domain_strategy,sample_0032,inst_medium_002,Medium
case_058,domain_business_domain_strategy,sample_0033,inst_easy_001,Easy
case_059,domain_business_domain_strategy,sample_0033,inst_hard_003,Hard
case_060,domain_business_domain_strategy,sample_0033,inst_medium_002,Medium
case_061,domain_business_domain_strategy,sample_0176,inst_easy_001,Easy
case_062,domain_business_domain_strategy,sample_0176,inst_hard_003,Hard
case_063,domain_business_domain_strategy,sample_0176,inst_medium_002,Medium
case_064,domain_business_domain_strategy,sample_0264,inst_easy_001,Easy
case_065,domain_business_domain_strategy,sample_0264,inst_hard_003,Hard
case_066,domain_business_domain_strategy,sample_0264,inst_medium_002,Medium
case_067,domain_management_domain_hierarchy,sample_0011,inst_easy_001,Easy
case_068,domain_management_domain_hierarchy,sample_0011,inst_hard_003,Hard
case_069,domain_management_domain_hierarchy,sample_0011,inst_medium_002,Medium
case_070,domain_management_domain_hierarchy,sample_0015,inst_easy_001,Easy
case_071,domain_management_domain_hierarchy,sample_0015,inst_hard_003,Hard
case_072,domain_management_domain_hierarchy,sample_0015,inst_medium_002,Medium
case_073,domain_software_domain_database,sample_0012,inst_easy_001,Easy
case_074,domain_software_domain_database,sample_0012,inst_hard_003,Hard
case_075,domain_software_domain_database,sample_0012,inst_medium_002,Medium
case_076,domain_software_domain_uml,sample_0011,inst_easy_001,Easy
case_077,domain_software_domain_uml,sample_0011,inst_hard_003,Hard
case_078,domain_software_domain_uml,sample_0011,inst_medium_002,Medium
case_079,domain_software_domain_uml,sample_0014,inst_easy_001,Easy
case_080,domain_software_domain_uml,sample_0014,inst_hard_003,Hard
case_081,domain_software_domain_uml,sample_0014,inst_medium_002,Medium
case_082,domain_software_domain_uml,sample_0020,inst_easy_001,Easy
case_083,domain_software_domain_uml,sample_0020,inst_hard_003,Hard
case_084,domain_software_domain_uml,sample_0020,inst_medium_002,Medium
case_085,domain_software_domain_uml,sample_0126,inst_easy_001,Easy
case_086,domain_software_domain_uml,sample_0126,inst_hard_003,Hard
case_087,domain_software_domain_uml,sample_0126,inst_medium_002,Medium
case_088,domain_uiux_domain_mobile,sample_0016,inst_easy_001,Easy
case_089,domain_uiux_domain_mobile,sample_0016,inst_hard_003,Hard
case_090,domain_uiux_domain_mobile,sample_0016,inst_medium_002,Medium
case_091,domain_uiux_domain_mobile,sample_0018,inst_easy_001,Easy
case_092,domain_uiux_domain_mobile,sample_0018,inst_hard_003,Hard
case_093,domain_uiux_domain_mobile,sample_0018,inst_medium_002,Medium
case_094,domain_uiux_domain_web,sample_0004,inst_easy_001,Easy
case_095,domain_uiux_domain_web,sample_0004,inst_hard_003,Hard
case_096,domain_uiux_domain_web,sample_0004,inst_medium_002,Medium
case_097,domain_uiux_domain_web,sample_0019,inst_easy_001,Easy
